,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,0.0016002655029296875,0.00048823118884534837,0.0003984928131103516,0.0004880551097650347,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,27
28,0.0012012004852294921,0.0003987441474831774,0.0005977630615234375,0.00048808133327975315,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,27
35,0.0009988307952880859,8.996945507103543e-07,0.0001998424530029297,0.0003996849060058594,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,27
22,0.000999116897583008,5.352483825837052e-07,0.00039997100830078123,0.0004898624411217046,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9583333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,0.925,0.07637626158259732,37
12,0.0007995128631591797,0.00039975664131735564,0.00039987564086914064,0.0004897456403489048,1,,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9583333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,0.925,0.07637626158259732,37
45,0.001598691940307617,0.0004887920367847796,0.0007997035980224609,0.00039985215086009077,1,,,10,"{'C': 1, 'gamma': 10}",0.9583333333333334,0.8333333333333334,0.7916666666666666,0.9583333333333334,0.9166666666666666,0.8916666666666668,0.06770032003863302,39
33,0.0011991500854492188,0.000399637378751312,0.00039992332458496096,0.0004898040465379741,10,4,sigmoid,0.01,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8333333333333334,0.7083333333333334,0.8333333333333334,1.0,0.9166666666666666,0.8583333333333334,0.09718253158075499,40
30,0.0009994983673095703,2.78041453115716e-07,0.00019974708557128905,0.0003994941711425781,10,3,sigmoid,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8333333333333334,0.7083333333333334,0.8333333333333334,1.0,0.9166666666666666,0.8583333333333334,0.09718253158075499,40
27,0.001199197769165039,0.0004003287036155747,0.00039987564086914064,0.00048974566356235,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.75,0.75,0.9583333333333334,0.7916666666666666,0.8083333333333333,0.07728015412913088,42
24,0.0009992599487304687,4.6231077741778654e-07,0.000599813461303711,0.0004897456635623499,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.75,0.75,0.9583333333333334,0.7916666666666666,0.8083333333333333,0.07728015412913088,42
39,0.0007995128631591797,0.0003997913069694856,0.00019989013671875,0.0003997802734375,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.75,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.875,0.7916666666666667,0.05892556509887895,44
36,0.000799560546875,0.0007478567902486378,0.00059967041015625,0.0004896288627950879,1000,3,sigmoid,0.01,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.75,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.875,0.7916666666666667,0.05892556509887895,44
43,0.0011992931365966796,0.00039984020914994557,0.0007997035980224609,0.0003998877464134233,0.1,,,10,"{'C': 0.1, 'gamma': 10}",0.75,0.8333333333333334,0.75,0.7916666666666666,0.7916666666666666,0.7833333333333333,0.031180478223116186,46
